Invoice_No,Payment_Value,Payment_Date,DSO_Days
INV001401,99854.42,2025-10-02,0
INV001402,482567.2,2025-10-10,0
INV001403,100505.06,2025-10-15,0
INV001404,392129.06,2025-11-03,15
INV001405,207256.3,2025-10-10,0
INV001406,238191.23,2025-10-02,0
INV001407,563532.91,2025-10-20,0
INV001408,1622437.1,2025-10-24,0
INV001409,1612737.22,2025-10-06,0
INV001410,562872.29,2025-10-11,0
INV001411,975637.42,2025-12-09,45
INV001412,460578.78,2025-10-03,0
INV001413,582360.34,2025-10-09,0
INV001414,541529.09,2025-10-17,0
INV001415,1300005.48,2025-10-24,0
INV001416,602314.32,2025-12-08,45
INV001417,1311074.76,2025-10-05,0
INV001418,1060510.53,2025-10-01,0
INV001419,1015991.42,2025-11-23,30
INV001420,443640.84,2025-11-20,45
INV001421,506825.17,2026-01-09,90
INV001422,1021116.14,2025-11-04,15
INV001423,307724.12,2025-10-16,0
INV001424,253370.98,2025-10-05,0
INV001425,293498.94,2025-10-07,0
INV001426,152431.21,2025-10-27,0
INV001427,105220.96,2025-11-26,30
INV001428,160016.3,2025-10-06,0
INV001429,70833.69,2025-10-14,0
INV001430,43604.75,2025-10-24,0
INV001431,914525.5,2025-10-05,0
INV001432,839645.83,2025-10-08,0
INV001433,1281407.09,2025-10-01,0
INV001434,368563.49,2025-10-26,0
INV001435,1407341.04,2025-10-21,15
INV001436,589610.42,2025-12-04,45
INV001437,990487.66,2025-10-14,0
INV001438,507673.69,2025-10-28,15
INV001439,665853.03,2025-10-01,0
INV001440,719319.66,2025-11-07,15
INV001441,1235853.01,2025-10-26,0
INV001442,259334.89,2025-11-18,45
INV001443,270060.03,2025-10-27,15
INV001444,591158.58,2025-10-14,0
INV001445,998195.39,2025-10-27,15
INV001446,846268.76,2025-10-20,0
INV001447,1347048.58,2025-10-24,0
INV001448,534041.29,2025-11-01,30
INV001449,679014.07,2026-01-07,90
INV001450,1116106.72,2025-11-01,15
INV001451,1183103.97,2025-10-22,0
INV001452,1265000.18,2025-10-26,0
INV001453,95168.17,2025-10-29,15
INV001454,464111.15,2025-11-22,30
INV001455,430581.12,2026-01-07,90
INV001456,541286.44,2025-10-17,0
INV001457,368392.94,2025-10-20,0
INV001458,240310.79,2025-11-17,45
INV001459,566199.52,2025-11-07,30
INV001460,151847.88,2025-10-01,0
INV001461,259797.52,2025-11-22,45
INV001462,622150.09,2025-10-10,0
INV001463,98253.46,2025-11-11,15
INV001464,1446876.63,2025-10-06,0
INV001465,716007.5,2025-10-04,0
INV001466,1757460.67,2025-10-04,0
INV001467,914453.39,2025-12-08,45
INV001468,1832704.3,2025-10-23,15
INV001469,535778.36,2025-10-23,0
INV001470,1321555.93,2025-10-11,0
INV001471,1675362.1,2025-11-09,30
INV001472,977722.42,2025-10-22,0
INV001473,207039.47,2025-11-07,15
INV001474,696937.55,2025-10-04,0
INV001475,384009.21,2025-12-06,60
INV001476,348963.04,2025-10-27,15
INV001477,305627.99,2025-10-17,0
INV001478,463046.7,2025-11-12,30
INV001479,174888.8,2025-11-09,30
INV001480,406935.73,2025-10-20,15
INV001481,326526.44,2025-10-12,0
INV001482,355572.83,2025-11-24,30
INV001483,58441.21,2025-11-25,30
INV001484,335622.74,2025-11-13,30
INV001485,416673.74,2025-10-13,0
INV001486,274472.88,2025-10-21,0
INV001487,232419.69,2025-10-08,0
INV001488,105799.14,2025-11-28,45
INV001489,974633.07,2025-10-17,0
INV001490,364889.57,2025-12-06,45
INV001491,1353165.05,2025-12-11,45
INV001492,1391031.51,2025-11-09,15
INV001493,933603.53,2025-10-22,0
INV001494,451641.2,2025-10-06,0
INV001495,693269.48,2025-10-26,0
INV001496,588562.66,2025-11-12,30
INV001497,981405.71,2025-10-06,0
INV001498,636510.38,2025-11-09,15
INV001499,1112520.53,2025-10-06,0
INV001500,1140678.46,2025-10-25,0
INV001501,512736.14,2025-11-19,45
INV001502,1183097.89,2025-10-25,0
INV001503,302610.35,2025-10-26,0
INV001504,1051369.47,2025-10-11,0
INV001505,301045.89,2025-10-14,0
INV001506,412390.07,2025-10-10,0
INV001507,355887.33,2025-11-09,30
INV001508,201739.03,2025-10-22,0
INV001509,523773.36,2025-10-03,0
INV001510,392085.0,2025-10-14,0
INV001511,116403.85,2025-11-16,30
INV001512,350158.0,2025-10-18,0
INV001513,620909.08,2025-10-01,0
INV001514,512360.77,2025-11-16,45
INV001515,536534.33,2025-10-10,0
INV001516,371292.53,2025-11-19,45
INV001517,576387.02,2025-11-13,30
INV001518,267375.14,2025-10-24,0
INV001519,1177974.52,2025-10-04,0
INV001520,640521.47,2025-10-12,0
INV001521,965462.18,2025-10-10,0
INV001522,378366.35,2025-10-15,0
INV001523,949938.75,2025-10-18,0
INV001524,904280.25,2025-10-13,0
INV001525,797234.67,2025-10-02,0
INV001526,492899.15,2025-10-12,0
INV001527,650618.49,2025-10-01,0
INV001528,548303.56,2025-11-07,30
INV001529,561411.82,2025-10-16,0
INV001530,621902.48,2025-10-05,0
INV001531,757306.45,2025-10-24,15
INV001532,208630.45,2025-11-25,30
INV001533,185723.51,2025-10-11,0
INV001534,223719.08,2025-10-16,15
INV001535,399257.0,2025-10-16,0
INV001536,122237.1,2025-10-01,0
INV001537,258228.83,2025-10-15,0
INV001538,295056.74,2025-12-02,45
INV001539,590081.96,2025-10-05,0
INV001540,153394.95,2025-10-18,15
INV001541,343437.26,2025-11-20,45
INV001542,570635.72,2025-10-20,15
INV001543,1729123.85,2025-10-22,15
INV001544,590138.64,2026-01-21,90
INV001545,414504.73,2025-10-14,0
INV001546,733807.76,2025-10-14,0
INV001547,822832.6,2025-10-25,0
INV001548,448606.52,2025-11-25,30
INV001549,932590.0,2025-10-26,0
INV001550,301988.35,2025-10-17,0
INV001551,784821.04,2025-10-06,0
INV001552,808746.45,2025-12-01,45
INV001553,931843.36,2025-10-11,0
INV001554,84361.96,2025-11-16,30
INV001555,118499.99,2025-10-02,0
INV001556,204077.4,2025-10-21,0
INV001557,248167.66,2025-10-25,0
INV001558,275345.6,2025-11-20,30
INV001559,99310.53,2025-11-10,30
INV001560,161843.15,2025-10-24,0
INV001561,171859.47,2025-10-02,0
INV001562,1460077.33,2025-10-20,0
INV001563,683366.0,2025-10-27,0
INV001564,418933.3,2026-01-05,90
INV001565,981865.07,2025-10-20,15
INV001566,977232.62,2025-11-17,45
INV001567,831454.14,2025-10-09,0
INV001568,771655.05,2025-10-15,0
INV001569,507342.34,2025-10-21,0
INV001570,1524538.87,2025-10-15,0
INV001571,652374.79,2025-12-10,45
INV001572,717629.55,2025-10-08,0
INV001573,344618.06,2025-11-22,45
INV001574,143851.55,2025-10-13,0
INV001575,273416.78,2025-10-24,15
INV001576,509854.82,2025-10-04,0
INV001577,517177.89,2025-10-16,0
INV001578,434965.66,2025-10-24,0
INV001579,483118.96,2025-10-23,0
INV001580,344033.17,2025-10-11,0
INV001581,511094.59,2025-11-06,15
INV001582,334672.61,2025-10-03,0
INV001583,313546.33,2025-10-27,0
INV001584,2047708.57,2025-10-07,0
INV001585,319144.01,2025-11-23,45
INV001586,484044.78,2025-10-14,0
INV001587,1193214.14,2025-10-23,15
INV001588,495382.0,2025-10-03,0
INV001589,550125.63,2025-11-20,30
INV001590,700484.43,2025-10-20,0
INV001591,732369.58,2025-11-02,15
INV001592,414310.68,2025-10-30,15
INV001593,893582.62,2025-10-01,0
INV001594,262620.89,2025-10-20,0
INV001595,617943.72,2025-10-19,0
INV001596,213692.67,2025-10-27,0
INV001597,665211.82,2025-10-19,0
INV001598,693831.37,2025-10-02,0
INV001599,267038.5,2025-10-31,30
INV001600,428859.77,2025-10-05,0
INV001601,88547.78,2025-10-18,0
INV001602,43160.76,2025-10-17,0
INV001603,58684.57,2025-11-02,30
INV001604,67204.47,2025-10-12,0
INV001605,33458.2,2025-10-12,0
INV001606,172596.13,2025-12-04,45
INV001607,238675.77,2025-11-07,15
INV001608,186214.74,2025-10-17,0
INV001609,1474533.8,2025-10-31,30
INV001610,1002998.68,2025-11-29,45
INV001611,521068.49,2025-10-25,0
INV001612,952889.88,2025-11-19,30
INV001613,1031022.22,2025-10-27,0
INV001614,790489.58,2025-10-31,15
INV001615,993484.85,2025-10-05,0
INV001616,1233916.59,2025-10-01,0
INV001617,491000.33,2025-10-19,15
INV001618,1137637.7,2025-11-05,15
INV001619,608547.61,2025-12-17,60
INV001620,901255.39,2025-10-09,0
INV001621,235456.9,2025-10-21,0
INV001622,231897.69,2025-10-31,15
INV001623,292935.7,2025-10-17,0
INV001624,389598.2,2025-10-14,0
INV001625,220115.93,2025-11-02,30
INV001626,393634.15,2025-10-26,0
INV001627,196546.53,2025-10-11,0
INV001628,127493.21,2025-11-08,30
INV001629,140854.25,2025-10-11,0
INV001630,137473.12,2025-10-27,0
INV001631,121169.57,2025-11-11,15
INV001632,350029.14,2025-10-08,0
INV001633,856854.88,2025-10-19,15
INV001634,675975.59,2025-11-02,15
INV001635,531572.27,2025-12-09,45
INV001636,563535.17,2025-10-19,0
INV001637,789852.98,2025-10-12,0
INV001638,412462.58,2025-10-18,0
INV001639,875483.82,2025-10-20,0
INV001640,544087.01,2025-10-23,15
INV001641,491426.51,2025-11-17,45
INV001642,648768.38,2025-10-16,15
INV001643,296530.2,2025-10-14,0
INV001644,118464.4,2025-11-23,0
INV001645,306723.91,2025-12-06,15
INV001646,110645.36,2025-12-19,45
INV001647,274406.83,2025-12-05,30
INV001648,206397.52,2025-12-10,30
INV001649,228716.37,2025-11-23,15
INV001650,425670.55,2025-11-07,0
INV001651,509294.01,2025-12-26,30
INV001652,1728890.49,2025-11-09,0
INV001653,373078.3,2025-11-10,0
INV001654,1137640.67,2025-12-03,30
INV001655,1056473.19,2025-12-19,30
INV001656,879680.93,2025-11-12,0
INV001657,1244028.74,2025-11-04,0
INV001658,845968.1,2025-12-08,15
INV001659,433395.89,2025-11-11,0
INV001660,986767.02,2025-11-08,0
INV001661,273092.23,2025-11-27,0
INV001662,1338959.26,2025-11-06,0
INV001663,350053.11,2025-11-18,15
INV001664,298428.53,2025-11-03,0
INV001665,197701.22,2025-11-21,15
INV001666,367667.89,2025-11-02,0
INV001667,450984.18,2025-11-17,15
INV001668,473056.12,2025-11-17,0
INV001669,780227.68,2025-11-24,0
INV001670,284378.79,2025-11-23,0
INV001671,339710.4,2025-11-16,0
INV001672,176566.9,2025-11-11,0
INV001673,274966.9,2025-12-18,45
INV001674,739720.5,2025-11-01,0
INV001675,524934.88,2025-11-12,0
INV001676,786288.19,2025-11-12,0
INV001677,526552.24,2025-11-21,0
INV001678,481501.58,2025-11-09,0
INV001679,368987.04,2026-01-09,45
INV001680,419396.33,2025-12-13,30
INV001681,930862.85,2025-11-16,0
INV001682,842119.04,2025-11-12,0
INV001683,163575.65,2025-11-04,0
INV001684,601861.67,2026-02-09,90
INV001685,559076.11,2025-11-22,0
INV001686,252515.1,2025-11-06,0
INV001687,75806.35,2025-11-15,0
INV001688,299412.55,2025-12-24,45
INV001689,271489.04,2025-11-01,0
INV001690,203269.61,2025-11-23,0
INV001691,421310.06,2025-12-19,45
INV001692,344856.0,2025-11-23,0
INV001693,994786.43,2025-11-12,0
INV001694,666276.9,2025-11-20,0
INV001695,274748.89,2025-11-15,0
INV001696,1487780.68,2025-11-24,0
INV001697,1295704.15,2025-11-21,15
INV001698,945194.86,2025-12-02,15
INV001699,480341.74,2025-12-11,15
INV001700,1515645.67,2025-11-13,0
INV001701,444144.85,2025-11-01,0
INV001702,1084181.34,2025-11-01,0
INV001703,932132.74,2025-11-17,0
INV001704,214905.45,2025-11-17,0
INV001705,1506227.48,2025-11-15,0
INV001706,699951.26,2025-11-09,0
INV001707,1116411.02,2026-01-24,60
INV001708,1165079.2,2025-11-25,0
INV001709,439462.67,2025-11-26,0
INV001710,1133607.18,2025-12-01,30
INV001711,106265.51,2025-11-07,0
INV001712,55367.19,2025-11-21,0
INV001713,35692.74,2026-01-11,45
INV001714,79348.02,2025-11-07,0
INV001715,325732.58,2025-11-13,0
INV001716,1060025.33,2025-11-18,0
INV001717,1130672.04,2025-11-25,0
INV001718,781522.64,2025-11-22,0
INV001719,407419.91,2025-11-07,0
INV001720,874596.61,2026-01-09,45
INV001721,981354.99,2025-12-19,30
INV001722,580290.92,2025-11-02,0
INV001723,1146227.22,2025-11-30,15
INV001724,1142050.07,2025-11-05,0
INV001725,886423.41,2025-11-21,15
INV001726,747720.83,2025-12-01,30
INV001727,870762.83,2025-11-10,0
INV001728,440509.4,2025-11-08,0
INV001729,792875.26,2025-12-14,30
INV001730,720830.61,2025-11-22,15
INV001731,850122.04,2025-11-14,0
INV001732,389125.05,2025-12-06,30
INV001733,1190942.47,2025-11-12,0
INV001734,1414425.36,2025-11-24,15
INV001735,393441.94,2025-11-12,0
INV001736,544584.58,2025-11-06,0
INV001737,456607.02,2025-12-25,30
INV001738,405289.87,2025-11-25,0
INV001739,513894.12,2026-01-25,60
INV001740,395602.51,2026-01-17,60
INV001741,220032.81,2025-12-24,30
INV001742,176360.34,2025-12-18,30
INV001743,474463.95,2025-11-15,0
INV001744,463333.28,2025-11-23,15
INV001745,479103.47,2025-11-12,0
INV001746,83708.86,2025-11-23,15
INV001747,2170920.17,2025-12-06,15
INV001748,1228846.48,2025-11-15,0
INV001749,1411461.36,2025-12-19,30
INV001750,2000563.53,2025-11-20,0
INV001751,1321561.17,2025-11-19,15
INV001752,1167545.97,2025-11-20,0
INV001753,1433286.4,2025-11-27,0
INV001754,1327858.55,2025-11-19,0
INV001755,344147.42,2025-12-06,15
INV001756,700647.57,2025-11-01,0
INV001757,2027373.45,2025-12-21,30
INV001758,395827.72,2025-11-28,15
INV001759,701706.12,2025-11-23,0
INV001760,696268.65,2025-11-14,0
INV001761,619213.31,2025-11-14,0
INV001762,747224.65,2025-11-14,0
INV001763,666420.95,2025-12-01,15
INV001764,655050.4,2025-12-22,30
INV001765,409951.61,2025-11-10,0
INV001766,287052.75,2025-11-26,0
INV001767,102039.09,2025-11-20,0
INV001768,190249.28,2026-01-09,60
INV001769,391206.78,2025-11-09,0
INV001770,75757.48,2025-12-01,30
INV001771,914115.39,2025-11-02,0
INV001772,1544349.82,2025-11-17,15
INV001773,464777.92,2025-11-21,0
INV001774,1203696.49,2025-12-19,30
INV001775,806249.95,2025-11-03,0
INV001776,503621.24,2025-11-20,0
INV001777,1723902.89,2025-11-19,0
INV001778,627453.5,2025-11-07,0
INV001779,534077.8,2026-01-07,60
INV001780,899925.21,2025-11-11,0
INV001781,229811.12,2025-12-01,30
INV001782,1044772.24,2025-12-07,30
INV001783,443725.09,2026-01-13,60
INV001784,962194.43,2025-11-02,0
INV001785,221604.63,2025-11-26,15
INV001786,852857.66,2025-11-09,0
INV001787,323679.71,2025-11-03,0
INV001788,90926.78,2025-12-04,15
INV001789,452991.84,2025-11-04,0
INV001790,514078.54,2025-11-17,0
INV001791,270756.39,2025-11-26,15
INV001792,242595.73,2025-12-25,30
INV001793,301985.77,2025-11-17,0
INV001794,444398.36,2025-11-25,0
INV001795,811342.31,2026-02-24,90
INV001796,587076.88,2025-11-24,0
INV001797,477779.36,2025-11-30,15
INV001798,839533.57,2025-11-29,15
INV001799,421042.8,2025-12-02,15
INV001800,683882.53,2026-01-10,45
INV001801,513880.92,2025-11-16,0
INV001802,418465.45,2025-11-09,0
INV001803,694440.99,2026-02-15,90
INV001804,653194.6,2025-11-21,0
INV001805,940691.6,2025-11-12,0
INV001806,947940.97,2025-11-10,0
INV001807,993017.38,2025-11-27,0
INV001808,548563.19,2025-12-04,15
INV001809,767576.82,2025-11-10,0
INV001810,333950.05,2026-01-10,60
INV001811,592797.05,2025-11-11,0
INV001812,274170.42,2025-11-21,0
INV001813,242489.06,2025-12-10,30
INV001814,278167.03,2025-11-03,0
INV001815,254692.61,2026-01-02,60
INV001816,292560.16,2025-11-08,0
INV001817,156679.93,2025-11-27,0
INV001818,113009.69,2025-12-04,15
INV001819,199102.02,2025-11-19,0
INV001820,287820.4,2026-01-03,45
INV001821,332892.46,2025-11-19,0
INV001822,174258.62,2025-12-30,45
INV001823,580403.39,2025-11-22,0
INV001824,1130696.22,2025-11-11,0
INV001825,546797.91,2025-12-27,30
INV001826,1022489.43,2025-12-30,45
INV001827,676075.0,2025-11-26,0
INV001828,1160232.32,2025-11-14,0
INV001829,612283.37,2025-11-05,0
INV001830,976902.37,2025-12-07,30
INV001831,392888.1,2025-11-19,15
INV001832,1247973.32,2025-11-09,0
INV001833,521441.26,2025-11-20,0
INV001834,179999.74,2025-12-20,30
INV001835,193966.25,2025-11-23,0
INV001836,82366.3,2026-02-15,90
INV001837,142363.26,2025-12-15,30
INV001838,69065.87,2025-11-27,15
INV001839,37021.14,2025-12-22,45
INV001840,212305.84,2025-11-04,0
INV001841,197600.73,2025-11-22,15
INV001842,55570.65,2025-11-09,0
INV001843,156354.46,2025-12-26,45
INV001844,62245.78,2025-11-13,0
INV001845,1461144.14,2025-11-02,0
INV001846,775528.04,2025-11-18,0
INV001847,867356.97,2025-11-18,15
INV001848,821492.1,2025-11-16,0
INV001849,384537.63,2026-01-06,60
INV001850,828586.84,2025-11-20,0
INV001851,281074.75,2025-11-23,15
INV001852,429527.13,2025-11-05,0
INV001853,606413.56,2025-11-02,0
INV001854,311524.99,2025-11-19,0
INV001855,1427327.18,2025-11-08,0
INV001856,969565.18,2025-11-05,0
INV001857,1136252.47,2025-11-13,0
INV001858,837554.22,2026-01-22,60
INV001859,528688.0,2025-12-26,30
INV001860,493411.25,2025-11-03,0
INV001861,669910.56,2025-11-14,0
INV001862,89677.98,2025-11-25,0
INV001863,197393.9,2026-01-11,60
INV001864,276577.52,2025-12-23,45
INV001865,396214.58,2025-12-06,30
INV001866,469758.1,2026-01-06,45
INV001867,144415.77,2025-11-13,0
INV001868,485324.17,2025-11-04,0
INV001869,147372.26,2025-11-25,0
INV001870,286182.91,2025-12-23,30
INV001871,209453.78,2025-11-25,0
INV001872,275344.85,2025-11-22,0
INV001873,774305.12,2025-11-21,0
INV001874,1504805.24,2025-11-24,0
INV001875,1604401.91,2025-11-09,0
INV001876,1457725.64,2025-11-27,15
INV001877,407369.69,2025-11-03,0
INV001878,1218616.36,2025-12-06,15
INV001879,1362418.74,2025-11-25,15
INV001880,682150.58,2025-11-14,0
INV001881,471818.78,2025-11-14,0
INV001882,330212.58,2025-11-20,0
INV001883,649182.07,2025-11-16,15
INV001884,759597.89,2025-12-17,30
INV001885,144593.37,2025-11-07,0
INV001886,568293.68,2025-11-02,0
INV001887,667273.67,2025-11-10,0
INV001888,163797.52,2025-11-21,0
INV001889,688682.49,2025-12-22,30
INV001890,410976.59,2025-11-15,0
INV001891,63021.0,2025-12-11,30
INV001892,445887.5,2025-11-01,0
INV001893,242045.47,2025-11-07,0
INV001894,392496.53,2025-11-01,0
INV001895,80939.69,2025-12-29,45
INV001896,272954.29,2025-11-07,0
INV001897,351483.68,2025-12-22,45
INV001898,420950.84,2025-11-02,0
INV001899,602708.99,2025-12-29,45
INV001900,1111966.84,2025-11-22,0
INV001901,812509.88,2025-11-10,0
INV001902,528527.37,2025-11-20,0
INV001903,1041512.16,2026-01-19,60
INV001904,605841.83,2025-11-20,0
INV001905,1876490.77,2025-11-17,0
INV001906,329897.44,2025-12-16,45
INV001907,1763804.62,2025-11-14,0
INV001908,342268.82,2025-11-21,15
INV001909,992404.8,2025-11-26,0
INV001910,306960.91,2025-11-20,0
INV001911,445428.46,2025-11-02,0
INV001912,288996.22,2025-11-01,0
INV001913,381436.22,2025-11-24,0
INV001914,646947.28,2025-11-22,0
INV001915,458669.15,2025-11-11,0
INV001916,497579.77,2025-11-14,0
INV001917,1086438.6,2025-11-11,0
INV001918,911510.7,2025-11-11,0
INV001919,617209.58,2025-11-21,0
INV001920,448209.9,2025-11-18,0
INV001921,243657.39,2025-12-06,15
INV001922,496370.8,2025-11-16,0
INV001923,348246.01,2025-11-18,0
INV001924,599598.34,2026-01-25,60
INV001925,672959.86,2025-11-24,0
INV001926,424589.01,2025-11-02,0
INV001927,271417.3,2025-11-23,15
INV001928,585863.3,2025-11-22,0
INV001929,661885.08,2025-11-22,0
INV001930,249711.55,2025-11-02,0
INV001931,897122.79,2025-11-02,0
INV001932,441040.82,2025-11-16,0
INV001933,851296.6,2025-11-23,0
INV001934,609312.17,2026-01-03,60
INV001935,456894.88,2025-11-16,0
INV001936,353074.2,2025-11-17,0
INV001937,642669.6,2025-11-04,0
INV001938,416069.31,2025-11-20,0
INV001939,240563.73,2025-11-02,0
INV001940,302151.15,2025-11-07,0
INV001941,92421.15,2025-11-20,0
INV001942,268270.78,2025-12-02,30
INV001943,465447.72,2025-11-05,0
INV001944,477646.49,2025-11-17,0
INV001945,275136.2,2025-11-14,0
INV001946,538859.79,2025-11-19,0
INV001947,205739.28,2025-12-09,15
INV001948,1154864.59,2026-01-09,45
INV001949,870579.29,2025-12-07,15
INV001950,1013875.53,2026-01-01,45
INV001951,1181061.0,2025-12-21,45
INV001952,1866848.83,2025-11-17,0
INV001953,1269845.76,2025-11-18,0
INV001954,573448.72,2025-11-09,0
INV001955,722098.28,2025-11-25,0
INV001956,1438716.02,2026-01-10,45
INV001957,641384.2,2025-11-24,0
INV001958,1108442.09,2025-11-17,0
INV001959,278985.42,2025-11-28,15
INV001960,1426413.75,2025-11-16,0
INV001961,1123264.72,2026-02-02,90
INV001962,258192.34,2025-11-22,0
INV001963,1343936.52,2025-12-25,45
INV001964,208238.41,2025-11-01,0
INV001965,262986.42,2026-01-07,45
INV001966,229865.01,2025-12-18,30
INV001967,221808.2,2026-01-04,45
INV001968,243813.53,2025-11-08,0
INV001969,312546.09,2025-12-03,15
INV001970,218896.74,2026-01-10,60
INV001971,221779.26,2025-11-05,0
INV001972,307549.45,2025-11-12,0
INV001973,335335.76,2025-11-17,15
INV001974,462031.53,2025-11-21,0
INV001975,841039.22,2025-12-20,30
INV001976,240682.44,2025-12-09,30
INV001977,1241739.1,2025-11-17,0
INV001978,534420.34,2025-11-05,0
INV001979,1044851.15,2026-01-18,60
INV001980,264961.79,2025-11-22,0
INV001981,1374791.58,2025-12-03,30
INV001982,1193275.3,2025-12-07,30
INV001983,547812.81,2025-12-02,30
INV001984,363248.66,2025-12-17,30
INV001985,959923.36,2025-11-18,0
INV001986,464313.37,2025-11-04,0
INV001987,848573.63,2025-11-24,0
INV001988,1110174.54,2025-11-18,0
INV001989,359519.98,2025-12-01,15
INV001990,567041.85,2025-12-12,30
INV001991,271952.29,2026-01-06,60
INV001992,330225.27,2025-12-09,30
INV001993,446462.92,2025-11-23,0
INV001994,1346118.47,2026-02-12,90
INV001995,1540437.43,2025-12-24,45
INV001996,412236.66,2026-01-06,45
INV001997,1242575.9,2025-11-11,0
INV001998,1468428.58,2025-11-25,0
INV001999,570123.59,2025-11-01,0
INV002000,615432.5,2025-11-12,0
INV002001,557577.55,2025-12-02,15
INV002002,738867.21,2025-11-06,0
INV002003,172756.53,2025-11-03,0
INV002004,586732.12,2026-01-06,45
INV002005,609344.94,2025-11-25,0
INV002006,156019.91,2025-11-26,15
INV002007,264998.76,2025-11-25,0
INV002008,217423.58,2025-12-16,45
INV002009,222637.44,2025-11-05,0
INV002010,106942.12,2026-01-05,45
INV002011,298791.25,2025-12-15,30
INV002012,119992.12,2025-12-18,30
INV002013,133756.97,2025-12-17,30
INV002014,201475.16,2025-11-20,0
INV002015,74763.76,2025-11-19,15
INV002016,252021.51,2025-11-08,0
INV002017,117600.3,2025-11-12,0
INV002018,223937.9,2025-11-05,0
INV002019,1036540.23,2025-12-19,45
INV002020,491623.68,2025-11-02,0
INV002021,805459.42,2025-11-19,0
INV002022,803340.0,2025-12-25,30
INV002023,506333.93,2025-11-08,0
INV002024,525280.4,2025-11-24,0
INV002025,182529.6,2025-11-01,0
INV002026,728560.39,2025-11-17,0
INV002027,203777.29,2025-11-20,0
INV002028,790551.34,2025-11-05,0
INV002029,868995.47,2025-11-13,0
INV002030,838917.66,2025-11-17,0
INV002031,724569.31,2025-11-15,0
INV002032,306459.12,2025-11-12,0
INV002033,217275.1,2026-01-01,60
INV002034,478601.75,2025-11-27,0
INV002035,457688.9,2025-11-01,0
INV002036,427337.78,2025-11-10,0
INV002037,243778.93,2025-11-23,0
INV002038,125997.83,2025-12-16,30
INV002039,346827.38,2025-11-08,0
INV002040,377954.15,2025-11-29,15
INV002041,343616.83,2025-12-26,30
INV002042,554242.53,2026-01-20,60
INV002043,724976.92,2025-11-27,15
INV002044,341526.09,2025-12-17,30
INV002045,199911.96,2026-01-24,60
INV002046,159860.39,2026-02-05,90
INV002047,597184.38,2025-12-24,30
INV002048,211145.93,2026-01-30,45
INV002049,207966.11,2025-12-06,0
INV002050,143695.53,2025-12-11,0
INV002051,377186.08,2025-12-19,0
INV002052,140453.17,2025-12-15,0
INV002053,1162640.69,2026-03-26,90
INV002054,642969.97,2026-01-26,30
INV002055,385484.9,2025-12-07,0
INV002056,642982.16,2026-03-04,90
INV002057,510859.93,2025-12-14,0
INV002058,1547951.89,2025-12-04,0
INV002059,1473251.64,2025-12-19,0
INV002060,1703260.24,2026-01-25,30
INV002061,1970906.22,2025-12-11,0
INV002062,493490.46,2025-12-10,0
INV002063,726105.96,2025-12-07,0
INV002064,891439.83,2025-12-19,0
INV002065,832095.61,2026-01-04,15
INV002066,607771.29,2025-12-05,0
INV002067,656210.22,2025-12-04,0
INV002068,405832.83,2025-12-11,0
INV002069,1016908.73,2025-12-17,0
INV002070,825726.0,2025-12-24,0
INV002071,705156.85,2025-12-05,0
INV002072,608484.9,2025-12-06,0
INV002073,317604.46,2025-12-21,0
INV002074,275444.72,2025-12-15,0
INV002075,546308.44,2025-12-15,0
INV002076,381049.99,2025-12-28,15
INV002077,284300.82,2025-12-18,15
INV002078,577306.03,2025-12-09,0
INV002079,232357.42,2025-12-07,0
INV002080,112909.77,2026-01-25,45
INV002081,574831.14,2026-01-03,15
INV002082,301276.34,2025-12-02,0
INV002083,418176.46,2025-12-05,0
INV002084,856700.32,2025-12-14,0
INV002085,724508.66,2025-12-24,0
INV002086,812049.9,2025-12-11,0
INV002087,873917.59,2025-12-05,0
INV002088,314976.81,2025-12-19,0
INV002089,412652.12,2026-01-12,30
INV002090,650464.45,2025-12-28,15
INV002091,820385.63,2025-12-08,0
INV002092,141439.37,2026-02-17,60
INV002093,641796.47,2025-12-14,0
INV002094,913697.04,2025-12-02,0
INV002095,845276.18,2025-12-04,0
INV002096,345324.42,2026-01-10,30
INV002097,471181.6,2025-12-24,15
INV002098,784459.54,2025-12-22,0
INV002099,470037.91,2026-02-02,60
INV002100,623042.85,2025-12-16,0
INV002101,356332.55,2025-12-04,0
INV002102,416940.13,2025-12-09,0
INV002103,508520.8,2026-01-09,15
INV002104,497550.28,2025-12-20,0
INV002105,172105.22,2025-12-21,15
INV002106,384625.06,2025-12-18,0
INV002107,317492.32,2025-12-06,0
INV002108,299774.05,2026-01-25,45
INV002109,408732.37,2025-12-26,0
INV002110,725235.49,2026-01-19,30
INV002111,475133.11,2026-01-19,45
INV002112,745090.64,2026-01-06,30
INV002113,1263416.76,2025-12-25,0
INV002114,1155452.77,2025-12-11,0
INV002115,342330.82,2025-12-08,0
INV002116,492352.18,2025-12-15,0
INV002117,593636.73,2025-12-17,0
INV002118,877906.02,2025-12-20,0
INV002119,1093663.76,2025-12-07,0
INV002120,213134.84,2025-12-14,0
INV002121,891610.32,2025-12-05,0
INV002122,994880.08,2025-12-04,0
INV002123,406894.24,2025-12-28,15
INV002124,658547.21,2025-12-06,0
INV002125,63330.69,2025-12-08,0
INV002126,87885.96,2025-12-28,15
INV002127,87741.62,2025-12-02,0
INV002128,143967.2,2026-01-15,45
INV002129,80909.09,2026-01-06,30
