Invoice_No,Date,Employee_ID,Customer_ID,Product_ID,Revenue,Margin,Discount_Pct,Invoice_Value,Month,Year,Quarter,Region,Division,Employee_Name,Designation,Performance_Tier,Customer_Name,Segment,Industry,Customer_Tier,Product_Name,Product_Division,Base_Margin_Pct,Unit_Count,Unit_Label
INV001161,2025-09-20,EMP043,CUST0044,PRD001,209489.12,21170.57,2.65,206133.4,Sep,2025,Q3,East,Express,Rep 43,Sales Executive,Healthy,India B2B Account 44,Growth,Electronics,Healthy,Domestic Express,Express,10.9,1230,Parcels
INV001162,2025-09-04,EMP043,CUST0086,PRD002,79885.29,9475.05,1.13,83503.67,Sep,2025,Q3,East,Express,Rep 43,Sales Executive,Healthy,India B2B Account 86,Growth,E-commerce,Healthy,International Express,Express,12.2,248,Parcels
INV001163,2025-09-01,EMP043,CUST0022,PRD002,242330.11,27140.72,3.33,233636.75,Sep,2025,Q3,East,Express,Rep 43,Sales Executive,Healthy,Godrej Appliances,Standard,Auto,Healthy,International Express,Express,12.2,621,Parcels
INV001164,2025-09-13,EMP043,CUST0050,PRD003,422680.01,51877.5,4.09,436348.32,Sep,2025,Q3,East,Express,Rep 43,Sales Executive,Healthy,India B2B Account 50,Growth,Pharma,Healthy,Same-Day,Express,13.5,2423,Parcels
INV001165,2025-09-25,EMP043,CUST0027,PRD001,141870.51,13917.16,3.63,147741.55,Sep,2025,Q3,East,Express,Rep 43,Sales Executive,Healthy,Zepto Dark Store,Standard,E-commerce,Healthy,Domestic Express,Express,10.9,836,Parcels
INV001166,2025-09-02,EMP044,CUST0158,PRD007,1637276.85,409187.61,2.69,1579299.77,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 158,Standard,E-commerce,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001167,2025-09-12,EMP044,CUST0182,PRD006,851530.77,97632.64,7.78,841221.66,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,Medicover Pvt. Ltd.,Standard,E-commerce,Focus,Sea Freight,Freight Forward,13.8,1,Shipments
INV001168,2025-09-21,EMP044,CUST0185,PRD005,466437.88,42051.81,9.95,468742.53,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,Sunrise Hospital,Risk,Manufacturing,Focus,Air Freight,Freight Forward,12.0,1,Shipments
INV001169,2025-09-07,EMP044,CUST0024,PRD006,702274.99,95740.76,0.56,682336.74,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,Aditya Birla Fashion,VIP,Pharma,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001170,2025-09-17,EMP044,CUST0160,PRD008,1762797.55,200643.44,2.06,1730963.84,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 160,Growth,E-commerce,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV001171,2025-09-15,EMP044,CUST0180,PRD008,692227.04,79359.91,1.79,693290.6,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 180,Growth,Healthcare,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV001172,2025-09-15,EMP044,CUST0146,PRD005,1864560.21,208071.35,2.8,1881184.3,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 146,Growth,Manufacturing,Healthy,Air Freight,Freight Forward,12.0,2,Shipments
INV001173,2025-09-20,EMP044,CUST0039,PRD006,426668.49,55193.86,2.88,433418.13,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 39,Standard,E-commerce,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001174,2025-09-05,EMP044,CUST0081,PRD005,1728522.37,195257.74,2.35,1658780.57,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 81,Growth,E-commerce,Healthy,Air Freight,Freight Forward,12.0,2,Shipments
INV001175,2025-09-08,EMP044,CUST0020,PRD005,1094248.71,119836.63,3.5,1059968.73,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,Blue Star Components,VIP,E-commerce,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV001176,2025-09-16,EMP044,CUST0191,PRD005,1265569.7,111453.53,10.64,1307650.84,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,Heritage Foods DC,Risk,Auto,Focus,Air Freight,Freight Forward,12.0,2,Shipments
INV001177,2025-09-04,EMP044,CUST0117,PRD007,284425.44,71473.33,2.24,272750.32,Sep,2025,Q3,West,Freight Forward,Rep 44,Regional Director,Healthy,India B2B Account 117,Growth,Manufacturing,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001178,2025-09-24,EMP045,CUST0188,PRD010,849241.38,143768.78,9.57,819863.73,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,Prime Retail Hub,Risk,Pharma,Focus,Last-Mile,Logistics,19.8,22,Shipments
INV001179,2025-09-10,EMP045,CUST0133,PRD011,698502.04,116696.58,1.98,696594.19,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,India B2B Account 133,Growth,Healthcare,Healthy,Cold Chain,Logistics,17.3,20,Shipments
INV001180,2025-09-09,EMP045,CUST0089,PRD011,507507.56,83364.13,2.91,530640.73,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,India B2B Account 89,Standard,E-commerce,Healthy,Cold Chain,Logistics,17.3,13,Shipments
INV001181,2025-09-15,EMP045,CUST0091,PRD011,839053.23,142754.75,0.95,851901.19,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,India B2B Account 91,Standard,Textile,Healthy,Cold Chain,Logistics,17.3,32,Shipments
INV001182,2025-09-02,EMP045,CUST0087,PRD011,923698.63,147853.29,4.31,877835.32,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,India B2B Account 87,Growth,Electronics,Healthy,Cold Chain,Logistics,17.3,49,Shipments
INV001183,2025-09-27,EMP045,CUST0002,PRD009,817130.07,157152.94,2.89,790764.04,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,Amazon Seller Services,Growth,E-commerce,Healthy,Warehousing,Logistics,20.1,18,Shipments
INV001184,2025-09-13,EMP045,CUST0147,PRD012,480989.0,87176.1,2.59,480033.88,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,India B2B Account 147,Growth,Textile,Healthy,E-commerce Fulfillment,Logistics,18.9,21,Shipments
INV001185,2025-09-01,EMP045,CUST0064,PRD010,925508.52,176277.23,2.51,964045.44,Sep,2025,Q3,Central,Logistics,Rep 45,Sales Executive,Healthy,India B2B Account 64,Standard,FMCG,Healthy,Last-Mile,Logistics,19.8,39,Shipments
INV001186,2025-09-04,EMP046,CUST0011,PRD004,140819.38,16857.03,6.1,136041.79,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,Myntra Logistics,Standard,Auto,Healthy,COD Services,Express,13.8,838,Parcels
INV001187,2025-09-27,EMP046,CUST0181,PRD002,316836.85,32437.14,6.54,329476.91,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,City Care Hospital,Risk,FMCG,Focus,International Express,Express,12.2,2013,Parcels
INV001188,2025-09-03,EMP046,CUST0167,PRD002,224940.16,21160.94,9.31,214234.15,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,India B2B Account 167,VIP,Manufacturing,Healthy,International Express,Express,12.2,995,Parcels
INV001189,2025-09-06,EMP046,CUST0091,PRD003,204264.09,22267.25,8.66,209075.85,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,India B2B Account 91,Standard,Textile,Healthy,Same-Day,Express,13.5,602,Parcels
INV001190,2025-09-19,EMP046,CUST0194,PRD004,267093.3,29712.9,8.92,269849.35,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,Bharat Textiles,Risk,FMCG,Focus,COD Services,Express,13.8,718,Parcels
INV001191,2025-09-19,EMP046,CUST0099,PRD003,300612.89,32860.83,8.56,311747.21,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,India B2B Account 99,Standard,Manufacturing,Healthy,Same-Day,Express,13.5,915,Parcels
INV001192,2025-09-01,EMP046,CUST0164,PRD002,54340.33,5603.17,6.3,53534.99,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,India B2B Account 164,Standard,Pharma,Healthy,International Express,Express,12.2,154,Parcels
INV001193,2025-09-06,EMP046,CUST0084,PRD002,128760.94,11883.64,9.9,132254.07,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,India B2B Account 84,Standard,Textile,Healthy,International Express,Express,12.2,365,Parcels
INV001194,2025-09-19,EMP046,CUST0163,PRD001,86585.72,7766.13,6.44,85644.36,Sep,2025,Q3,North,Express,Rep 46,Sales Manager,Focus,India B2B Account 163,Growth,Manufacturing,Healthy,Domestic Express,Express,10.9,394,Parcels
INV001195,2025-09-13,EMP047,CUST0193,PRD007,1128266.96,268596.37,6.65,1102100.06,Sep,2025,Q3,South,Freight Forward,Rep 47,Sales Executive,Focus,OmniTech Distribution,Risk,Auto,Focus,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001196,2025-09-18,EMP047,CUST0171,PRD005,1304263.15,122259.26,8.75,1278875.14,Sep,2025,Q3,South,Freight Forward,Rep 47,Sales Executive,Focus,India B2B Account 171,Growth,FMCG,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV001197,2025-09-16,EMP047,CUST0049,PRD005,313803.01,31974.15,6.04,325859.63,Sep,2025,Q3,South,Freight Forward,Rep 47,Sales Executive,Focus,India B2B Account 49,VIP,Electronics,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV001198,2025-09-06,EMP047,CUST0121,PRD007,968225.87,219019.48,10.6,948778.0,Sep,2025,Q3,South,Freight Forward,Rep 47,Sales Executive,Focus,India B2B Account 121,Growth,Pharma,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001199,2025-09-04,EMP047,CUST0112,PRD008,1209373.56,106774.93,10.57,1184358.18,Sep,2025,Q3,South,Freight Forward,Rep 47,Sales Executive,Focus,India B2B Account 112,Growth,FMCG,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV001200,2025-09-11,EMP048,CUST0177,PRD012,158456.73,25589.46,9.17,164892.95,Sep,2025,Q3,East,Logistics,Rep 48,Sales Executive,Focus,India B2B Account 177,Standard,Textile,Healthy,E-commerce Fulfillment,Logistics,18.9,3,Shipments
INV001201,2025-09-26,EMP048,CUST0176,PRD009,187473.81,33297.38,7.8,178263.5,Sep,2025,Q3,East,Logistics,Rep 48,Sales Executive,Focus,India B2B Account 176,VIP,Electronics,Healthy,Warehousing,Logistics,20.1,9,Shipments
INV001202,2025-09-04,EMP048,CUST0191,PRD012,152075.22,25963.5,6.09,150052.16,Sep,2025,Q3,East,Logistics,Rep 48,Sales Executive,Focus,Heritage Foods DC,Risk,Auto,Focus,E-commerce Fulfillment,Logistics,18.9,5,Shipments
INV001203,2025-09-05,EMP048,CUST0047,PRD011,719111.74,105481.54,8.77,710294.84,Sep,2025,Q3,East,Logistics,Rep 48,Sales Executive,Focus,India B2B Account 47,Growth,Electronics,Healthy,Cold Chain,Logistics,17.3,38,Shipments
INV001204,2025-09-17,EMP048,CUST0109,PRD012,590726.19,97120.86,8.2,583113.36,Sep,2025,Q3,East,Logistics,Rep 48,Sales Executive,Focus,India B2B Account 109,VIP,Healthcare,Healthy,E-commerce Fulfillment,Logistics,18.9,13,Shipments
INV001205,2025-09-14,EMP049,CUST0040,PRD003,420941.34,47360.45,7.5,429516.18,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 40,Growth,Electronics,Healthy,Same-Day,Express,13.5,1320,Parcels
INV001206,2025-09-27,EMP049,CUST0073,PRD001,460716.75,38382.64,8.56,464119.76,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 73,Growth,Pharma,Healthy,Domestic Express,Express,10.9,2319,Parcels
INV001207,2025-09-22,EMP049,CUST0181,PRD004,375901.76,44740.67,6.33,369234.77,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,City Care Hospital,Risk,FMCG,Focus,COD Services,Express,13.8,1305,Parcels
INV001208,2025-09-21,EMP049,CUST0162,PRD001,330311.99,28000.9,8.08,327115.94,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 162,Standard,Auto,Healthy,Domestic Express,Express,10.9,872,Parcels
INV001209,2025-09-15,EMP049,CUST0062,PRD002,337276.48,31402.76,9.63,348897.54,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 62,Standard,Healthcare,Healthy,International Express,Express,12.2,892,Parcels
INV001210,2025-09-03,EMP049,CUST0058,PRD002,112067.78,10953.5,8.09,107083.29,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 58,Growth,Textile,Healthy,International Express,Express,12.2,317,Parcels
INV001211,2025-09-16,EMP049,CUST0191,PRD004,75356.9,8095.24,10.19,75423.78,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,Heritage Foods DC,Risk,Auto,Focus,COD Services,Express,13.8,211,Parcels
INV001212,2025-09-16,EMP049,CUST0195,PRD003,103115.52,12060.53,6.01,103083.77,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,Galaxy Electronics,Risk,FMCG,Focus,Same-Day,Express,13.5,277,Parcels
INV001213,2025-09-02,EMP049,CUST0192,PRD003,208811.23,24334.06,6.15,217476.47,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,Central Medical Stores,Risk,Healthcare,Focus,Same-Day,Express,13.5,616,Parcels
INV001214,2025-09-19,EMP049,CUST0059,PRD003,159773.37,18540.63,6.32,157935.98,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 59,Growth,FMCG,Healthy,Same-Day,Express,13.5,942,Parcels
INV001215,2025-09-27,EMP049,CUST0175,PRD003,392861.18,44653.91,7.11,393970.27,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,India B2B Account 175,Growth,Textile,Healthy,Same-Day,Express,13.5,1266,Parcels
INV001216,2025-09-21,EMP049,CUST0008,PRD001,381993.82,30312.72,9.88,368333.27,Sep,2025,Q3,West,Express,Rep 49,Sales Executive,Focus,Samsung India,Standard,Pharma,Healthy,Domestic Express,Express,10.9,1399,Parcels
INV001217,2025-09-18,EMP050,CUST0192,PRD008,1047030.26,104514.3,6.73,1041886.55,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,Central Medical Stores,Risk,Healthcare,Focus,Project Cargo,Freight Forward,12.0,2,Shipments
INV001218,2025-09-07,EMP050,CUST0085,PRD006,757991.0,85140.93,8.56,795278.81,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,India B2B Account 85,Standard,FMCG,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001219,2025-09-11,EMP050,CUST0184,PRD007,600896.67,139450.67,8.64,586797.63,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,Fortis Healthcare,Risk,Manufacturing,Focus,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001220,2025-09-16,EMP050,CUST0185,PRD008,1083032.51,94273.87,10.98,1101422.41,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,Sunrise Hospital,Risk,Manufacturing,Focus,Project Cargo,Freight Forward,12.0,1,Shipments
INV001221,2025-09-01,EMP050,CUST0082,PRD008,950779.16,89887.34,8.49,967248.56,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,India B2B Account 82,Growth,Pharma,Healthy,Project Cargo,Freight Forward,12.0,1,Shipments
INV001222,2025-09-26,EMP050,CUST0074,PRD006,184301.02,20944.55,8.12,182611.98,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,India B2B Account 74,Standard,Textile,Healthy,Sea Freight,Freight Forward,13.8,2,Shipments
INV001223,2025-09-16,EMP050,CUST0041,PRD006,457451.56,49197.19,10.15,439674.31,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,India B2B Account 41,VIP,Healthcare,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001224,2025-09-01,EMP050,CUST0173,PRD005,658426.6,61702.35,8.76,667795.86,Sep,2025,Q3,Central,Freight Forward,Rep 50,Sales Executive,Focus,India B2B Account 173,Growth,Electronics,Healthy,Air Freight,Freight Forward,12.0,1,Shipments
INV001225,2025-10-11,EMP001,CUST0120,PRD002,260909.4,29353.98,3.16,259208.84,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 120,Standard,Electronics,Healthy,International Express,Express,12.2,870,Parcels
INV001226,2025-10-07,EMP001,CUST0141,PRD002,209791.92,25165.92,0.68,210629.37,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 141,Growth,Pharma,Healthy,International Express,Express,12.2,736,Parcels
INV001227,2025-10-07,EMP001,CUST0136,PRD004,294232.0,39470.21,1.28,304926.87,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 136,Standard,Manufacturing,Healthy,COD Services,Express,13.8,1803,Parcels
INV001228,2025-10-24,EMP001,CUST0011,PRD004,271275.94,36645.44,0.97,264926.71,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,Myntra Logistics,Standard,Auto,Healthy,COD Services,Express,13.8,926,Parcels
INV001229,2025-10-17,EMP001,CUST0066,PRD001,405967.1,41506.91,2.25,399243.85,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 66,Standard,E-commerce,Healthy,Domestic Express,Express,10.9,1189,Parcels
INV001230,2025-10-11,EMP001,CUST0044,PRD003,448955.67,57563.18,2.26,430632.32,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 44,Growth,Electronics,Healthy,Same-Day,Express,13.5,1984,Parcels
INV001231,2025-10-06,EMP001,CUST0098,PRD003,304550.37,37674.43,3.76,317062.86,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 98,VIP,Auto,Healthy,Same-Day,Express,13.5,847,Parcels
INV001232,2025-10-15,EMP001,CUST0142,PRD001,400657.18,41686.79,1.65,413151.54,Oct,2025,Q4,North,Express,Rep 1,Sales Executive,Healthy,India B2B Account 142,VIP,Textile,Healthy,Domestic Express,Express,10.9,1243,Parcels
INV001233,2025-10-23,EMP002,CUST0198,PRD007,1022601.68,231481.23,10.55,983787.7,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,CarePlus Diagnostics,Risk,Electronics,Focus,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001234,2025-10-21,EMP002,CUST0053,PRD006,1268658.78,167821.6,1.91,1324742.09,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 53,VIP,FMCG,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001235,2025-10-18,EMP002,CUST0046,PRD006,288312.69,36837.52,3.41,284779.98,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 46,VIP,Pharma,Healthy,Sea Freight,Freight Forward,13.8,2,Shipments
INV001236,2025-10-19,EMP002,CUST0199,PRD007,372720.04,88934.94,6.46,357370.23,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,Urban Fresh Supply,Standard,Healthcare,Focus,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001237,2025-10-12,EMP002,CUST0172,PRD008,631553.71,68218.11,3.99,612705.36,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,India B2B Account 172,Growth,Electronics,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV001238,2025-10-07,EMP002,CUST0014,PRD008,795953.91,89497.87,2.52,773905.13,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,Lupin Labs,Growth,Electronics,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV001239,2025-10-19,EMP002,CUST0188,PRD006,1759517.19,196874.15,8.7,1713600.79,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,Prime Retail Hub,Risk,Pharma,Focus,Sea Freight,Freight Forward,13.8,2,Shipments
INV001240,2025-10-05,EMP002,CUST0004,PRD007,590295.71,148489.38,2.15,598255.27,Oct,2025,Q4,South,Freight Forward,Rep 2,Sales Executive,Healthy,Tata 1mg,Growth,Healthcare,Healthy,Customs Clearance,Freight Forward,25.8,1,Shipments
INV001241,2025-10-24,EMP003,CUST0009,PRD010,491564.97,95441.55,1.28,506516.97,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,Vivo Distribution,Standard,Auto,Healthy,Last-Mile,Logistics,19.8,9,Shipments
INV001242,2025-10-07,EMP003,CUST0064,PRD009,947270.28,180102.23,3.62,932059.5,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 64,Standard,FMCG,Healthy,Warehousing,Logistics,20.1,40,Shipments
INV001243,2025-10-17,EMP003,CUST0200,PRD009,339799.93,59182.34,8.94,346643.74,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,Apex Industrial Tools,Standard,Textile,Focus,Warehousing,Logistics,20.1,7,Shipments
INV001244,2025-10-09,EMP003,CUST0046,PRD011,802305.1,131247.54,3.14,840238.72,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 46,VIP,Pharma,Healthy,Cold Chain,Logistics,17.3,33,Shipments
INV001245,2025-10-16,EMP003,CUST0128,PRD011,828607.13,138948.59,1.77,808145.85,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 128,VIP,E-commerce,Healthy,Cold Chain,Logistics,17.3,23,Shipments
INV001246,2025-10-22,EMP003,CUST0178,PRD012,354784.16,63097.58,3.72,343634.31,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 178,Growth,Electronics,Healthy,E-commerce Fulfillment,Logistics,18.9,18,Shipments
INV001247,2025-10-12,EMP003,CUST0189,PRD011,292769.42,42335.14,9.47,295803.11,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,Eastern Cold Chain,Standard,Healthcare,Focus,Cold Chain,Logistics,17.3,13,Shipments
INV001248,2025-10-20,EMP003,CUST0061,PRD010,1007968.44,194108.04,1.81,1045890.95,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 61,Standard,FMCG,Healthy,Last-Mile,Logistics,19.8,30,Shipments
INV001249,2025-10-04,EMP003,CUST0129,PRD009,852579.42,168994.16,0.93,833538.26,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 129,Growth,Textile,Healthy,Warehousing,Logistics,20.1,18,Shipments
INV001250,2025-10-06,EMP003,CUST0092,PRD010,966043.39,183486.42,2.69,998865.79,Oct,2025,Q4,East,Logistics,Rep 3,Sales Executive,Healthy,India B2B Account 92,Standard,Textile,Healthy,Last-Mile,Logistics,19.8,32,Shipments
INV001251,2025-10-22,EMP004,CUST0105,PRD004,195082.29,26061.68,1.47,201746.09,Oct,2025,Q4,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 105,Growth,Electronics,Healthy,COD Services,Express,13.8,1153,Parcels
INV001252,2025-10-03,EMP004,CUST0136,PRD003,101960.14,13455.97,1.01,101959.71,Oct,2025,Q4,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 136,Standard,Manufacturing,Healthy,Same-Day,Express,13.5,500,Parcels
INV001253,2025-10-01,EMP004,CUST0135,PRD002,187653.17,21286.4,2.86,191297.72,Oct,2025,Q4,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 135,Standard,Textile,Healthy,International Express,Express,12.2,493,Parcels
INV001254,2025-10-26,EMP004,CUST0179,PRD001,233073.37,24821.84,0.83,234051.03,Oct,2025,Q4,West,Express,Rep 4,VP Sales,Healthy,India B2B Account 179,Growth,Electronics,Healthy,Domestic Express,Express,10.9,1088,Parcels
INV001255,2025-10-21,EMP004,CUST0023,PRD001,651197.1,62592.49,4.29,636438.7,Oct,2025,Q4,West,Express,Rep 4,VP Sales,Healthy,Titan Company,VIP,FMCG,Healthy,Domestic Express,Express,10.9,1979,Parcels
INV001256,2025-10-22,EMP004,CUST0019,PRD002,496709.39,59497.04,0.74,489741.19,Oct,2025,Q4,West,Express,Rep 4,VP Sales,Healthy,D-Mart Supply Chain,Growth,E-commerce,Healthy,International Express,Express,12.2,1784,Parcels
INV001257,2025-10-19,EMP005,CUST0085,PRD007,981296.26,240977.61,4.14,942352.43,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 85,Standard,FMCG,Healthy,Customs Clearance,Freight Forward,25.8,2,Shipments
INV001258,2025-10-18,EMP005,CUST0027,PRD008,1049719.83,123459.11,0.8,1097841.59,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,Zepto Dark Store,Standard,E-commerce,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV001259,2025-10-14,EMP005,CUST0065,PRD006,1105419.65,138352.13,4.28,1123403.52,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 65,Growth,Healthcare,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001260,2025-10-17,EMP005,CUST0172,PRD006,1394476.3,181828.14,2.54,1375256.73,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 172,Growth,Electronics,Healthy,Sea Freight,Freight Forward,13.8,1,Shipments
INV001261,2025-10-22,EMP005,CUST0184,PRD005,805869.34,71641.3,10.37,838142.86,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,Fortis Healthcare,Risk,Manufacturing,Focus,Air Freight,Freight Forward,12.0,1,Shipments
INV001262,2025-10-02,EMP005,CUST0200,PRD007,1536558.45,358905.47,8.14,1559855.62,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,Apex Industrial Tools,Standard,Textile,Focus,Customs Clearance,Freight Forward,25.8,2,Shipments
INV001263,2025-10-08,EMP005,CUST0154,PRD008,1038227.9,112495.59,3.88,1006434.4,Oct,2025,Q4,Central,Freight Forward,Rep 5,Sales Manager,Healthy,India B2B Account 154,Standard,FMCG,Healthy,Project Cargo,Freight Forward,12.0,2,Shipments
INV001264,2025-10-22,EMP006,CUST0039,PRD011,503796.75,83031.96,2.73,482133.67,Oct,2025,Q4,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 39,Standard,E-commerce,Healthy,Cold Chain,Logistics,17.3,23,Shipments
INV001265,2025-10-09,EMP006,CUST0031,PRD009,417082.29,82062.54,1.42,405187.91,Oct,2025,Q4,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 31,Growth,FMCG,Healthy,Warehousing,Logistics,20.1,22,Shipments
INV001266,2025-10-14,EMP006,CUST0176,PRD009,574860.56,109939.42,3.25,575646.46,Oct,2025,Q4,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 176,VIP,Electronics,Healthy,Warehousing,Logistics,20.1,22,Shipments
INV001267,2025-10-26,EMP006,CUST0108,PRD011,629420.15,105778.1,1.65,654869.25,Oct,2025,Q4,North,Logistics,Rep 6,Sales Executive,Healthy,India B2B Account 108,Standard,Electronics,Healthy,Cold Chain,Logistics,17.3,41,Shipments
